"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1603","Check displaying of empty courses list","LMS system","Thu Jun 25 09:11:37 UTC 2026","passed","Thu Jun 25 09:11:38 UTC 2026","Courses","Courses","",""
"","3172","User login with correct email and password ","LMS system","Thu Jun 25 09:11:28 UTC 2026","passed","Thu Jun 25 09:11:31 UTC 2026","Authorization","Authentication","",""
"","1565","Navigation from login page to registration page","LMS system","Thu Jun 25 09:11:32 UTC 2026","passed","Thu Jun 25 09:11:34 UTC 2026","Authorization","Authentication","",""
"","1721","User login with wrong email or password","LMS system","Thu Jun 25 09:11:30 UTC 2026","passed","Thu Jun 25 09:11:32 UTC 2026","Authorization","Authentication","",""
"","1592","User login with wrong email or password","LMS system","Thu Jun 25 09:11:31 UTC 2026","passed","Thu Jun 25 09:11:33 UTC 2026","Authorization","Authentication","",""
"","2832","Edit course","LMS system","Thu Jun 25 09:11:38 UTC 2026","passed","Thu Jun 25 09:11:41 UTC 2026","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Thu Jun 25 09:11:41 UTC 2026","passed","Thu Jun 25 09:11:41 UTC 2026","","test_markers","",""
"","1883","User login with wrong email or password","LMS system","Thu Jun 25 09:11:28 UTC 2026","passed","Thu Jun 25 09:11:30 UTC 2026","Authorization","Authentication","",""
"","1816","Registration with correct email, username and password","LMS system","Thu Jun 25 09:11:33 UTC 2026","passed","Thu Jun 25 09:11:35 UTC 2026","Registration","Authentication","",""
"","2245","Create course","LMS system","Thu Jun 25 09:11:35 UTC 2026","passed","Thu Jun 25 09:11:38 UTC 2026","Courses","Courses","",""
"","1840","Check displaying of dashboard page","LMS system","Thu Jun 25 09:11:38 UTC 2026","passed","Thu Jun 25 09:11:40 UTC 2026","Dashboard","Dashboard","",""
