"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1918","User login with wrong email or password","LMS system","Fri Jul 24 02:59:09 UTC 2026","passed","Fri Jul 24 02:59:11 UTC 2026","Authorization","Authentication","",""
"","1955","Registration with correct email, username and password","LMS system","Fri Jul 24 02:59:12 UTC 2026","passed","Fri Jul 24 02:59:14 UTC 2026","Registration","Authentication","",""
"","3120","Edit course","LMS system","Fri Jul 24 02:59:17 UTC 2026","passed","Fri Jul 24 02:59:21 UTC 2026","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Fri Jul 24 02:59:21 UTC 2026","passed","Fri Jul 24 02:59:21 UTC 2026","","test_markers","",""
"","1972","User login with wrong email or password","LMS system","Fri Jul 24 02:59:06 UTC 2026","passed","Fri Jul 24 02:59:08 UTC 2026","Authorization","Authentication","",""
"","3512","User login with correct email and password ","LMS system","Fri Jul 24 02:59:06 UTC 2026","passed","Fri Jul 24 02:59:10 UTC 2026","Authorization","Authentication","",""
"","2063","Check displaying of dashboard page","LMS system","Fri Jul 24 02:59:18 UTC 2026","passed","Fri Jul 24 02:59:20 UTC 2026","Dashboard","Dashboard","",""
"","1730","User login with wrong email or password","LMS system","Fri Jul 24 02:59:10 UTC 2026","passed","Fri Jul 24 02:59:12 UTC 2026","Authorization","Authentication","",""
"","2680","Create course","LMS system","Fri Jul 24 02:59:14 UTC 2026","passed","Fri Jul 24 02:59:17 UTC 2026","Courses","Courses","",""
"","1730","Check displaying of empty courses list","LMS system","Fri Jul 24 02:59:16 UTC 2026","passed","Fri Jul 24 02:59:18 UTC 2026","Courses","Courses","",""
"","1630","Navigation from login page to registration page","LMS system","Fri Jul 24 02:59:11 UTC 2026","passed","Fri Jul 24 02:59:12 UTC 2026","Authorization","Authentication","",""
