"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1893","User login with wrong email or password","LMS system","Thu Jun 25 09:21:03 UTC 2026","passed","Thu Jun 25 09:21:05 UTC 2026","Authorization","Authentication","",""
"","2434","Create course","LMS system","Thu Jun 25 09:21:11 UTC 2026","passed","Thu Jun 25 09:21:13 UTC 2026","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Thu Jun 25 09:21:17 UTC 2026","passed","Thu Jun 25 09:21:17 UTC 2026","","test_markers","",""
"","1508","Navigation from login page to registration page","LMS system","Thu Jun 25 09:21:07 UTC 2026","passed","Thu Jun 25 09:21:09 UTC 2026","Authorization","Authentication","",""
"","1942","Check displaying of dashboard page","LMS system","Thu Jun 25 09:21:14 UTC 2026","passed","Thu Jun 25 09:21:16 UTC 2026","Dashboard","Dashboard","",""
"","3268","User login with correct email and password ","LMS system","Thu Jun 25 09:21:03 UTC 2026","passed","Thu Jun 25 09:21:06 UTC 2026","Authorization","Authentication","",""
"","1846","Registration with correct email, username and password","LMS system","Thu Jun 25 09:21:08 UTC 2026","passed","Thu Jun 25 09:21:10 UTC 2026","Registration","Authentication","",""
"","2759","Edit course","LMS system","Thu Jun 25 09:21:14 UTC 2026","passed","Thu Jun 25 09:21:16 UTC 2026","Courses","Courses","",""
"","1607","Check displaying of empty courses list","LMS system","Thu Jun 25 09:21:12 UTC 2026","passed","Thu Jun 25 09:21:13 UTC 2026","Courses","Courses","",""
"","1719","User login with wrong email or password","LMS system","Thu Jun 25 09:21:05 UTC 2026","passed","Thu Jun 25 09:21:07 UTC 2026","Authorization","Authentication","",""
"","1582","User login with wrong email or password","LMS system","Thu Jun 25 09:21:07 UTC 2026","passed","Thu Jun 25 09:21:08 UTC 2026","Authorization","Authentication","",""
