"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2135","User login with wrong email or password","LMS system","2026-08-05","passed","2026-08-05","Authorization","Authentication","",""
"","1625","Check displaying of empty courses list","LMS system","2026-08-05","passed","2026-08-05","Courses","Courses","",""
"","4011","User login with correct email and password ","LMS system","2026-08-05","passed","2026-08-05","Authorization","Authentication","",""
"","1947","Navigation from login page to registration page","LMS system","2026-08-05","passed","2026-08-05","Authorization","Authentication","",""
"","2660","Check displaying of dashboard page","LMS system","2026-08-05","passed","2026-08-05","Dashboard","Dashboard","",""
"","2296","User login with wrong email or password","LMS system","2026-08-05","passed","2026-08-05","Authorization","Authentication","",""
"","3257","Edit course","LMS system","2026-08-05","passed","2026-08-05","Courses","Courses","",""
"","3418","Create course","LMS system","2026-08-05","passed","2026-08-05","Courses","Courses","",""
"","1934","Registration with correct email, username and password","LMS system","2026-08-05","passed","2026-08-05","Registration","Authentication","",""
"","2115","User login with wrong email or password","LMS system","2026-08-05","passed","2026-08-05","Authorization","Authentication","",""
